Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004,1,12,1,623,630,901,915,UA,462,N805UA,98,105,80,-14,-7,ORD,CLT,599,7,11,0,,0,0,0,0,0,0
2004,1,13,2,621,630,911,915,UA,462,N851UA,110,105,78,-4,-9,ORD,CLT,599,16,16,0,,0,0,0,0,0,0
2004,1,14,3,633,630,920,915,UA,462,N436UA,107,105,88,5,3,ORD,CLT,599,4,15,0,,0,0,0,0,0,0
2004,1,15,4,627,630,859,915,UA,462,N828UA,92,105,78,-16,-3,ORD,CLT,599,4,10,0,,0,0,0,0,0,0
2004,1,16,5,635,630,918,915,UA,462,N831UA,103,105,87,3,5,ORD,CLT,599,3,13,0,,0,0,0,0,0,0
2004,1,17,6,628,630,905,915,UA,462,N834UA,97,105,81,-10,-2,ORD,CLT,599,5,11,0,,0,0,0,0,0,0
2004,1,19,1,650,630,944,915,UA,462,N840UA,114,105,100,29,20,ORD,CLT,599,3,11,0,,0,20,0,9,0,0
2004,1,20,2,627,630,904,915,UA,462,N454UA,97,105,84,-11,-3,ORD,CLT,599,3,10,0,,0,0,0,0,0,0
2004,1,21,3,623,630,903,915,UA,462,N808UA,100,105,76,-12,-7,ORD,CLT,599,16,8,0,,0,0,0,0,0,0
2004,1,22,4,626,630,901,915,UA,462,N832UA,95,105,77,-14,-4,ORD,CLT,599,4,14,0,,0,0,0,0,0,0
2004,1,23,5,631,630,923,915,UA,462,N848UA,112,105,88,8,1,ORD,CLT,599,3,21,0,,0,0,0,0,0,0
2004,1,24,6,628,630,901,915,UA,462,N472UA,93,105,70,-14,-2,ORD,CLT,599,10,13,0,,0,0,0,0,0,0
2004,1,26,1,NA,630,NA,915,UA,462,0,NA,105,NA,NA,NA,ORD,CLT,599,0,0,1,B,0,0,0,0,0,0
